seed,budget_id,client_id,modal_alpha,modal_frequency,median_alpha,percentile_5,percentile_95,instability
1,false_positive_0p001,Danmini_Doorbell,0.00020435325068186532,0.448,0.0003060656568188345,0.00020435325068186532,0.0005234337324592672,0.552
1,false_positive_0p001,Ennio_Doorbell,0.0005190713408839703,0.198,0.0006451950121482159,0.000262023564680056,0.0011643757492860373,0.802
1,false_positive_0p001,Ecobee_Thermostat,0.0007774278625536144,0.396,0.0011643757492860373,0.0007774278625536144,0.0019339201607912035,0.604
1,false_positive_0p001,Philips_B120N10_Baby_Monitor,0.0001,0.082,0.0009367618628394448,0.0001,0.0012011244339814311,0.918
1,false_positive_0p001,Provision_PT_737E_Security_Camera,0.0002462354914284262,0.21,0.00032568990749704533,0.0001644059762524425,0.0008272748117917262,0.79
1,false_positive_0p001,Provision_PT_838_Security_Camera,0.0002540068920616557,0.058,0.0009973062274111863,0.00015449979243554535,0.001974720351693796,0.942
1,false_positive_0p001,SimpleHome_XCS7_1002_WHT_Security_Camera,0.00032568990749704533,0.1,0.0007536422741614974,0.00021745592760409819,0.001974720351693796,0.9
1,false_positive_0p001,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.404,0.0007774278625536144,0.0005190713408839703,0.0015400924857617558,0.596
1,false_positive_0p001,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.116,0.0033490224008742397,0.00019204006772477732,0.004162766037009365,0.884
1,false_positive_0p0025,Danmini_Doorbell,0.00020435325068186532,0.388,0.0003060656568188345,0.00020435325068186532,0.000606319172389986,0.612
1,false_positive_0p0025,Ennio_Doorbell,0.005505992973070277,0.116,0.005679766774033137,0.004294146458362655,0.007059833406580807,0.884
1,false_positive_0p0025,Ecobee_Thermostat,0.0007774278625536144,0.448,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.552
1,false_positive_0p0025,Philips_B120N10_Baby_Monitor,0.0009663268605244831,0.076,0.0009663268605244831,0.0006865634844764341,0.0012781378670897654,0.924
