dataset_id,seed,budget_id,target_rate,client_id,false_alert_events_per_hour,attacked_stream_events_per_hour,attack_event_recall,attack_event_miss_rate,mean_time_to_detect,median_time_to_detect,percentile_90_time_to_detect,alarm_duty_fraction
gotham,0,false_positive_0p020,0.02,02:42:82:75:d1:00,0.0,0.03033048061502582,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:8d:87:6d:00,0.0,0.04037058000817888,1.0,0.0,372.93162298202515,372.93162298202515,372.93162298202515,0.0
gotham,0,false_positive_0p020,0.02,02:42:8e:5a:86:00,4.722763480760347,4.722763480760347,0.0,1.0,0.0,0.0,0.0,0.0004904834986769979
gotham,0,false_positive_0p020,0.02,02:42:90:66:25:00,1.4149141807428063,1.4149141807428063,0.0,1.0,0.0,0.0,0.0,0.0005395550260311424
gotham,0,false_positive_0p020,0.02,02:42:98:66:68:00,0.9432467179828534,0.9432467179828534,0.0,1.0,0.0,0.0,0.0,0.0003943990259603304
gotham,0,false_positive_0p020,0.02,02:42:a9:11:53:00,0.010090381503765962,0.07063267052636174,1.0,0.0,0.0,0.0,0.0,0.02132359611313465
gotham,0,false_positive_0p020,0.02,02:42:ae:88:72:00,0.0,0.04040034390543522,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:bd:f8:c5:00,0.0,0.03027359470004522,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:c0:ac:38:00,0.010099658171170109,0.020199316342340217,1.0,0.0,0.0,0.0,0.0,0.021327110948953308
gotham,0,false_positive_0p020,0.02,02:42:c1:b7:72:00,0.0,0.02018679049481543,1.0,0.0,397.3609459400177,397.3609459400177,397.3609459400177,0.0
gotham,0,false_positive_0p020,0.02,02:42:c2:48:f9:00,0.47159946927451907,0.47159946927451907,0.0,1.0,0.0,0.0,0.0,0.00044821349271809976
gotham,0,false_positive_0p020,0.02,02:42:c2:7a:05:00,0.0,0.05045999719423911,1.0,0.0,337.84441018104553,337.84441018104553,337.84441018104553,0.0
gotham,0,false_positive_0p020,0.02,02:42:c3:13:3c:00,0.0,0.02019978837296154,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:c5:6f:4c:00,0.0,0.010100451407491592,1.0,0.0,0.0,0.0,0.0,0.0
